headline,image_link,local_image,timestamp
How this dream-like photo challenges notions of the male gaze,"https://media.cnn.com/api/v1/images/stellar/prod/230801093909-01-snap-yushi-li-smothering-dream.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image27.jpg,"Thu August 3, 2023"
Opinion: The myth of the ‘wonder weapon’,"https://media.cnn.com/api/v1/images/stellar/prod/230918200722-ukraine-helicopters-pleitgen-pkg.jpg?c=16x9&q=w_850,c_fill",./images/image28.jpg,"Wed September 20, 2023"
The best photos from the 2023 NFL season,"https://media.cnn.com/api/v1/images/stellar/prod/230918191627-nich-chubb-injured-0918.jpg?c=original&q=w_1280,c_fill",./images/image29.jpg,"Tue September 19, 2023"
"Seven intimate Egon Schiele artworks, looted by the Nazis from a Jewish art collector, are returned to his heirs","https://media.cnn.com/api/v1/images/stellar/prod/230920121156-01-schiele-drawings-returned-to-heirs-split.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image30.jpg,"Wed September 20, 2023"
Saudi Arabia is trying to disrupt soccer’s world order. The reasons why might surprise you,"https://media.cnn.com/api/v1/images/stellar/prod/220407114243-meanwhile-middle-east-logo-large-169.png?q=h_439,w_1600,x_0,y_0/w_1280",./images/image31.jpg,"Thu September 21, 2023"
Lazio goalkeeper Ivan Provedel scores last-minute goal to earn dramatic Champions League draw,"https://media.cnn.com/api/v1/images/stellar/prod/230920051103-01-lazio-ucl-091923.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image32.jpg,"Wed September 20, 2023"
Even when Lionel Messi doesn’t play he’s still star of the show in MLS,"https://media.cnn.com/api/v1/images/stellar/prod/230916140114-exp-riddell-snell-messi-mania-091612pseg1-cnni-sports-00000000.png?c=16x9&q=w_850,c_fill",./images/image33.jpg,"Mon September 18, 2023"
How Fiji’s historic Rugby World Cup victory left Australia facing the prospect of early elimination,"https://media.cnn.com/api/v1/images/stellar/prod/230918153229-04-fiji-australia-rugby-world-cup.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image34.jpg,"Mon September 18, 2023"
Japan Airlines wants to help you leave your suitcase at home,"https://media.cnn.com/api/v1/images/stellar/prod/230908125848-any-wear-anywhere-women-winter-casual-variety.jpg?c=original&q=h_618,c_fill",./images/image35.jpg,"Thu September 14, 2023"
Mount Fuji in trouble: How Japan’s highest peak fell victim to overtourism,"https://media.cnn.com/api/v1/images/stellar/prod/230912142340-sceengrab-fuji-overtourism.jpg?c=16x9&q=w_850,c_fill",./images/image36.jpg,"Sun September 10, 2023"
A kid posed with his pilot dad in an airplane. Almost 30 years later they recreated the photo,"https://media.cnn.com/api/v1/images/stellar/prod/230912152458-04-southwest-father-son-pilot-childhood-photo-recreated.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image37.jpg,"Wed September 13, 2023"
Take a sneak peek at NASA planes that could transform air travel by the 2030s,"https://media.cnn.com/api/v1/images/stellar/prod/230725155659-01-nasa-liveries-x66a.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image38.jpg,"Wed July 26, 2023"
This world-class airport will soon go passport-free,"https://media.cnn.com/api/v1/images/stellar/prod/190416100039-singapore-changi-airport-jewel-guide.jpg?q=x_3,y_130,h_1406,w_2499,c_crop/w_850",./images/image39.jpg,"Wed September 20, 2023"
Flight attendants are burned out and quitting. Here’s why,"https://media.cnn.com/api/v1/images/stellar/prod/230915112757-20230914-burntout-flight-attendants.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image40.jpg,"Sat September 16, 2023"
The people who live inside airplanes,"https://media.cnn.com/api/v1/images/stellar/prod/230201154849-01-people-who-live-on-planes-ussery.jpg?c=original&q=h_618,c_fill",./images/image41.jpg,"Fri September 22, 2023"
FedEx saw boost from rival UPS’s labor negotiations with Teamsters,"https://media.cnn.com/api/v1/images/stellar/prod/230920183536-fedex-earnings-benefit.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image42.jpg,"Wed September 20, 2023"
Interest rates are high. These are the best places to park your cash,"https://media.cnn.com/api/v1/images/stellar/prod/230913112237-exp-us-inflation-numbers-solomon-live-fst-091309aseg1-cnni-business-00005113.png?c=16x9&q=w_850,c_fill",./images/image43.jpg,"Thu September 21, 2023"
Bank of England pauses historic rate hikes as UK inflation falls,"https://media.cnn.com/api/v1/images/stellar/prod/230921095652-bank-of-england-102022.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image44.jpg,"Thu September 21, 2023"
Hollywood chiefs and writers to resume negotiations Thursday after attendees ‘encouraged’ by talks,"https://media.cnn.com/api/v1/images/stellar/prod/230920223419-01-writers-guild-strike-081423.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image45.jpg,"Thu September 21, 2023"
Winter expected to be costlier for those who heat with oil. But natural gas heat users will finally get a break.,"https://media.cnn.com/api/v1/images/stellar/prod/211129160855-us-natural-gas-furnace-1019-restricted.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image46.jpg,"Wed September 20, 2023"
Israel strikes Gaza targets after incendiary balloons sent across border,"https://media.cnn.com/api/v1/images/stellar/prod/230923005458-01-gaza-protests-092223-restricted.jpg?c=16x9&q=h_720,w_1280,c_fill",./images/image47.jpg,"Sat September 23, 2023"
